Lat,Lng,Dist to 1st Station (mi),Dist to 2nd Station (mi)
32.82066453104573,-96.83867029026592,1.05,1.83
32.82066453104573,-96.85652325389223,0.9,1.58
32.82066453104573,-96.87437621751856,0.46,1.2
32.82066453104573,-96.89222918114488,0.41,0.94
32.80712269545237,-96.49946398136574,,
32.80712269545237,-96.51731694499206,,
32.80712269545237,-96.677993617629,0.91,1.98
32.80712269545237,-96.69584658125532,0.13,1.83
32.80712269545237,-96.71369954488164,1.17,1.85
32.80712269545237,-96.73155250850796,1.28,1.91
32.80712269545237,-96.74940547213428,0.93,1.03
32.80712269545237,-96.7672584357606,0.58,0.79
32.80712269545237,-96.78511139938692,0.54,1.38
32.80712269545237,-96.80296436301326,0.45,0.99
32.80712269545237,-96.82081732663958,0.68,0.98
32.80712269545237,-96.83867029026592,1.13,1.69
32.80712269545237,-96.85652325389223,0.97,1.74
32.80712269545237,-96.87437621751856,0.59,1.25
32.80712269545237,-96.89222918114488,0.55,1.37
32.79358085985901,-96.49946398136574,,
32.79358085985901,-96.51731694499206,,
32.79358085985901,-96.69584658125532,0.97,1.35
32.79358085985901,-96.71369954488164,1.51,1.56
32.79358085985901,-96.73155250850796,0.89,1.69
32.79358085985901,-96.74940547213428,0.15,1.23
32.79358085985901,-96.7672584357606,1.0,1.03
32.79358085985901,-96.78511139938692,0.46,1.0
32.79358085985901,-96.80296436301326,0.69,1.21
32.79358085985901,-96.82081732663958,0.36,1.21
32.79358085985901,-96.83867029026592,0.68,1.33
32.79358085985901,-96.85652325389223,0.81,1.68
32.79358085985901,-96.87437621751856,1.3,1.49
32.79358085985901,-96.89222918114488,1.43,1.48
32.780039024265655,-96.49946398136574,2.77,3.08
32.780039024265655,-96.677993617629,1.32,1.46
32.780039024265655,-96.69584658125532,0.45,1.9
32.780039024265655,-96.71369954488164,0.9,2.15
32.780039024265655,-96.73155250850796,1.2,1.3
32.780039024265655,-96.74940547213428,0.31,0.96
32.780039024265655,-96.7672584357606,0.53,0.95
32.780039024265655,-96.78511139938692,0.5,0.52
32.780039024265655,-96.80296436301326,0.25,0.56
32.780039024265655,-96.82081732663958,0.97,1.03
32.780039024265655,-96.83867029026592,0.55,1.07
32.780039024265655,-96.85652325389223,0.13,1.34
32.780039024265655,-96.87437621751856,1.02,1.77
32.780039024265655,-96.89222918114488,0.77,2.06
32.780039024265655,-96.9100821447712,0.46,2.16
32.7664971886723,-96.66014065400266,0.92,1.27
32.7664971886723,-96.677993617629,1.37,1.74
32.7664971886723,-96.69584658125532,0.59,2.28
32.7664971886723,-96.71369954488164,0.98,2.3
32.7664971886723,-96.73155250850796,1.34,1.8
32.7664971886723,-96.74940547213428,0.67,1.09
32.7664971886723,-96.7672584357606,0.35,1.12
32.7664971886723,-96.78511139938692,0.78,0.84
32.7664971886723,-96.80296436301326,0.66,1.04
32.7664971886723,-96.82081732663958,0.14,0.93
32.7664971886723,-96.83867029026592,0.48,1.06
32.7664971886723,-96.85652325389223,1.06,1.32
32.7664971886723,-96.87437621751856,1.47,1.52
32.7664971886723,-96.89222918114488,0.94,1.83
32.7664971886723,-96.9100821447712,0.71,2.12
32.75295535307894,-96.64228769037634,0.93,1.24
32.75295535307894,-96.66014065400266,0.36,1.6
32.75295535307894,-96.677993617629,1.25,1.54
32.75295535307894,-96.69584658125532,1.36,1.5
32.75295535307894,-96.71369954488164,1.69,1.86
32.75295535307894,-96.73155250850796,1.5,1.97
32.75295535307894,-96.74940547213428,0.47,1.51
32.75295535307894,-96.7672584357606,0.58,0.78
32.75295535307894,-96.78511139938692,,
32.75295535307894,-96.80296436301326,1.18,1.3
32.75295535307894,-96.82081732663958,0.31,0.79
32.75295535307894,-96.83867029026592,0.79,0.98
32.75295535307894,-96.85652325389223,1.2,1.25
32.75295535307894,-96.87437621751856,0.59,2.16
32.75295535307894,-96.89222918114488,1.18,1.71
32.75295535307894,-96.9100821447712,1.25,1.6
32.73941351748558,-96.64228769037634,1.07,1.21
32.73941351748558,-96.66014065400266,0.64,1.07
32.73941351748558,-96.677993617629,0.87,1.2
32.73941351748558,-96.69584658125532,0.47,1.98
32.73941351748558,-96.71369954488164,1.36,2.55
32.73941351748558,-96.73155250850796,1.74,2.38
32.73941351748558,-96.74940547213428,,
32.73941351748558,-96.7672584357606,,
32.73941351748558,-96.78511139938692,,
32.73941351748558,-96.80296436301326,0.96,1.31
32.73941351748558,-96.82081732663958,0.65,1.11
32.73941351748558,-96.83867029026592,0.16,1.13
32.73941351748558,-96.85652325389223,0.99,1.11
32.73941351748558,-96.87437621751856,0.35,1.76
32.73941351748558,-96.9100821447712,0.64,1.85
32.73941351748558,-96.92793510839752,0.45,2.11
32.73941351748558,-96.96364103565018,1.23,2.5
32.73941351748558,-96.98149399927652,1.68,1.71
32.72587168189222,-96.64228769037634,0.56,1.35
32.72587168189222,-96.66014065400266,0.38,1.08
32.72587168189222,-96.677993617629,0.67,0.94
32.72587168189222,-96.69584658125532,0.61,1.7
32.72587168189222,-96.71369954488164,1.41,2.74
32.72587168189222,-96.73155250850796,2.36,2.41
32.72587168189222,-96.74940547213428,,
32.72587168189222,-96.7672584357606,,
32.72587168189222,-96.78511139938692,0.8,1.35
32.72587168189222,-96.80296436301326,,
32.72587168189222,-96.82081732663958,1.01,1.27
32.72587168189222,-96.83867029026592,0.45,1.09
32.72587168189222,-96.85652325389223,1.23,1.46
32.72587168189222,-96.87437621751856,1.11,1.29
32.72587168189222,-96.89222918114488,0.54,1.64
32.72587168189222,-96.9100821447712,1.0,1.23
32.72587168189222,-96.92793510839752,0.89,2.21
32.72587168189222,-96.94578807202386,1.65,2.24
32.72587168189222,-96.96364103565018,2.14,2.61
32.712329846298864,-96.64228769037634,0.85,0.95
32.712329846298864,-96.66014065400266,0.23,0.94
32.712329846298864,-96.677993617629,1.09,1.24
32.712329846298864,-96.69584658125532,1.5,1.91
32.712329846298864,-96.71369954488164,1.97,2.87
32.712329846298864,-96.73155250850796,2.57,2.77
32.712329846298864,-96.74940547213428,1.54,2.79
32.712329846298864,-96.7672584357606,0.56,2.07
32.712329846298864,-96.78511139938692,0.63,1.24
32.712329846298864,-96.80296436301326,0.97,1.63
32.712329846298864,-96.82081732663958,1.05,1.59
32.712329846298864,-96.83867029026592,0.52,2.02
32.712329846298864,-96.85652325389223,1.26,1.9
32.712329846298864,-96.87437621751856,1.04,2.14
32.712329846298864,-96.89222918114488,0.4,2.39
32.712329846298864,-96.9100821447712,1.18,1.83
32.712329846298864,-96.92793510839752,1.77,2.18
32.712329846298864,-96.94578807202386,2.25,3.14
32.712329846298864,-96.96364103565018,2.72,3.03
32.698788010705506,-96.57087583587104,2.56,2.67
32.698788010705506,-96.58872879949736,1.86,1.88
32.698788010705506,-96.60658176312369,1.4,1.41
32.698788010705506,-96.64228769037634,1.17,1.8
32.698788010705506,-96.66014065400266,0.83,1.84
32.698788010705506,-96.677993617629,1.48,1.92
32.698788010705506,-96.69584658125532,2.41,2.43
32.698788010705506,-96.71369954488164,2.75,3.28
32.698788010705506,-96.73155250850796,2.61,2.63
32.698788010705506,-96.74940547213428,1.65,2.1
32.698788010705506,-96.7672584357606,0.8,1.57
32.698788010705506,-96.78511139938692,0.86,1.03
32.698788010705506,-96.80296436301326,1.35,1.73
32.698788010705506,-96.82081732663958,1.71,2.18
32.698788010705506,-96.83867029026592,1.45,1.46
32.698788010705506,-96.85652325389223,0.97,1.85
32.698788010705506,-96.87437621751856,1.38,1.65
32.698788010705506,-96.89222918114488,1.34,2.24
32.698788010705506,-96.9100821447712,1.74,2.54
32.698788010705506,-96.92793510839752,2.53,2.67
32.698788010705506,-96.94578807202386,,
32.698788010705506,-96.96364103565018,,
32.698788010705506,-96.98149399927652,1.55,2.74
32.68524617511215,-96.57087583587104,2.1,2.2
32.68524617511215,-96.58872879949736,1.17,1.32
32.68524617511215,-96.60658176312369,0.49,0.69
32.68524617511215,-96.62443472675,0.94,1.32
32.68524617511215,-96.64228769037634,1.92,1.94
32.68524617511215,-96.66014065400266,1.76,2.76
32.68524617511215,-96.677993617629,2.14,2.82
32.68524617511215,-96.69584658125532,2.87,3.22
32.68524617511215,-96.71369954488164,2.92,3.58
32.68524617511215,-96.73155250850796,1.99,3.0
32.68524617511215,-96.74940547213428,1.24,2.19
32.68524617511215,-96.7672584357606,1.13,1.19
32.68524617511215,-96.78511139938692,0.17,1.68
32.68524617511215,-96.80296436301326,0.89,1.8
32.68524617511215,-96.82081732663958,1.57,1.93
32.68524617511215,-96.83867029026592,1.09,1.96
32.68524617511215,-96.85652325389223,0.06,2.13
